date,month,balance,vesting_percent,interest_earned,risk_event
2030-10-01 10:40:10.580533,57,77415.68,51.61,279.05,False
2030-10-31 10:40:10.580533,58,78900.17,52.6,284.49,False
2030-11-30 10:40:10.580533,59,80390.11,53.59,289.94,False
2030-12-30 10:40:10.580533,60,81885.53,54.59,295.42,False
2031-01-29 10:40:10.580533,61,83386.44,55.59,300.91,False
2031-02-28 10:40:10.580533,62,84892.87,56.6,306.43,False
2031-03-30 10:40:10.580533,63,86404.83,57.6,311.97,False
2031-04-29 10:40:10.580533,64,87922.36,58.61,317.52,False
2031-05-29 10:40:10.580533,65,89445.45,59.63,323.1,False
2031-06-28 10:40:10.580533,66,90974.15,60.65,328.69,False
2031-07-28 10:40:10.580533,67,92508.46,61.67,334.31,False
2031-08-27 10:40:10.580533,68,94048.41,62.7,339.95,False
2031-09-26 10:40:10.580533,69,95594.02,63.73,345.61,False
2031-10-26 10:40:10.580533,70,97145.31,64.76,351.29,False
2031-11-25 10:40:10.580533,71,98702.3,65.8,356.99,False
2031-12-25 10:40:10.580533,72,100265.01,66.84,362.71,False
2032-01-24 10:40:10.580533,73,101833.47,67.89,368.45,False
2032-02-23 10:40:10.580533,74,103407.69,68.94,374.22,False
2032-03-24 10:40:10.580533,75,104987.69,69.99,380.0,False
2032-04-23 10:40:10.580533,76,106573.5,71.05,385.81,False
2032-05-23 10:40:10.580533,77,108165.14,72.11,391.64,False
2032-06-22 10:40:10.580533,78,109762.63,73.18,397.49,False
2032-07-22 10:40:10.580533,79,111365.98,74.24,403.36,False
2032-08-21 10:40:10.580533,80,112975.23,75.32,409.25,False
2032-09-20 10:40:10.580533,81,114590.39,76.39,415.16,False
2032-10-20 10:40:10.580533,82,116211.49,77.47,421.1,False
2032-11-19 10:40:10.580533,83,117838.55,78.56,427.06,False
2032-12-19 10:40:10.580533,84,119471.58,79.65,433.03,False
2033-01-18 10:40:10.580533,85,121110.62,80.74,439.04,False
2033-02-17 10:40:10.580533,86,122755.67,81.84,445.06,False
2033-03-19 10:40:10.580533,87,124406.78,82.94,451.1,False
2033-04-18 10:40:10.580533,88,126063.95,84.04,457.17,False
2033-05-18 10:40:10.580533,89,127727.21,85.15,463.26,False
2033-06-17 10:40:10.580533,90,129396.58,86.26,469.37,False
2033-07-17 10:40:10.580533,91,131072.09,87.38,475.51,False
2033-08-16 10:40:10.580533,92,132753.76,88.5,481.66,False
2033-09-15 10:40:10.580533,93,134441.6,89.63,487.84,False
2033-10-15 10:40:10.580533,94,136135.65,90.76,494.05,False
2033-11-14 10:40:10.580533,95,137835.92,91.89,500.27,False
2033-12-14 10:40:10.580533,96,139542.44,93.03,506.52,False
2034-01-13 10:40:10.580533,97,141255.23,94.17,512.79,False
2034-02-12 10:40:10.580533,98,142974.32,95.32,519.09,False
2034-03-14 10:40:10.580533,99,144699.72,96.47,525.4,False
2034-04-13 10:40:10.580533,100,146431.47,97.62,531.74,False
2034-05-13 10:40:10.580533,101,148169.57,98.78,538.11,False
2034-06-12 10:40:10.580533,102,149914.07,99.94,544.49,False
2034-07-12 10:40:10.580533,103,151664.97,100.0,550.91,False
2034-08-11 10:40:10.580533,104,153422.31,100.0,557.34,False
2034-09-10 10:40:10.580533,105,155186.11,100.0,563.8,False
2034-10-10 10:40:10.580533,106,156956.39,100.0,570.28,False
2034-11-09 10:40:10.580533,107,158733.18,100.0,576.78,False
2034-12-09 10:40:10.580533,108,160516.49,100.0,583.31,False
2035-01-08 10:40:10.580533,109,162306.36,100.0,589.87,False
2035-02-07 10:40:10.580533,110,164102.8,100.0,596.44,False
2035-03-09 10:40:10.580533,111,165905.85,100.0,603.05,False
2035-04-08 10:40:10.580533,112,167715.52,100.0,609.67,False
2035-05-08 10:40:10.580533,113,169531.84,100.0,616.32,False
2035-06-07 10:40:10.580533,114,171354.84,100.0,623.0,False
2035-07-07 10:40:10.580533,115,173184.54,100.0,629.7,False
2035-08-06 10:40:10.580533,116,175020.96,100.0,636.42,False
2035-09-05 10:40:10.580533,117,176864.13,100.0,643.17,False
2035-10-05 10:40:10.580533,118,178714.07,100.0,649.94,False
2035-11-04 10:40:10.580533,119,180570.81,100.0,656.74,False
2035-12-04 10:40:10.580533,120,182434.37,100.0,663.56,False
2036-01-03 10:40:10.580533,121,184304.78,100.0,670.41,False
2036-02-02 10:40:10.580533,122,186182.07,100.0,677.28,False
2036-03-03 10:40:10.580533,123,188066.25,100.0,684.18,False
2036-04-02 10:40:10.580533,124,189957.36,100.0,691.11,False
2036-05-02 10:40:10.580533,125,191855.42,100.0,698.06,False
2036-06-01 10:40:10.580533,126,193760.45,100.0,705.03,False
2036-07-01 10:40:10.580533,127,195672.48,100.0,712.03,False
2036-07-31 10:40:10.580533,128,197591.54,100.0,719.06,False
2036-08-30 10:40:10.580533,129,199517.65,100.0,726.11,False
2036-09-29 10:40:10.580533,130,201450.84,100.0,733.19,False
2036-10-29 10:40:10.580533,131,203391.13,100.0,740.29,False
2036-11-28 10:40:10.580533,132,205338.56,100.0,747.42,False
2036-12-28 10:40:10.580533,133,207293.14,100.0,754.58,False
2037-01-27 10:40:10.580533,134,209254.9,100.0,761.76,False
2037-02-26 10:40:10.580533,135,211223.87,100.0,768.97,False
2037-03-28 10:40:10.580533,136,213200.08,100.0,776.21,False
2037-04-27 10:40:10.580533,137,215183.55,100.0,783.47,False
2037-05-27 10:40:10.580533,138,217174.31,100.0,790.76,False
2037-06-26 10:40:10.580533,139,219172.38,100.0,798.07,False
2037-07-26 10:40:10.580533,140,221177.8,100.0,805.42,False
2037-08-25 10:40:10.580533,141,223190.59,100.0,812.79,False
2037-09-24 10:40:10.580533,142,225210.77,100.0,820.18,False
2037-10-24 10:40:10.580533,143,227238.38,100.0,827.61,False
2037-11-23 10:40:10.580533,144,229273.43,100.0,835.06,False
2037-12-23 10:40:10.580533,145,231315.97,100.0,842.54,False
2038-01-22 10:40:10.580533,146,233366.01,100.0,850.04,False
2038-02-21 10:40:10.580533,147,235423.59,100.0,857.58,False
2038-03-23 10:40:10.580533,148,237488.72,100.0,865.14,False
2038-04-22 10:40:10.580533,149,239561.45,100.0,872.73,False
2038-05-22 10:40:10.580533,150,241641.79,100.0,880.34,False
2038-06-21 10:40:10.580533,151,243729.78,100.0,887.99,False
2038-07-21 10:40:10.580533,152,245825.44,100.0,895.66,False
2038-08-20 10:40:10.580533,153,247928.8,100.0,903.36,False
2038-09-19 10:40:10.580533,154,250039.89,100.0,911.09,False
2038-10-19 10:40:10.580533,155,252158.74,100.0,918.85,False
2038-11-18 10:40:10.580533,156,254285.38,100.0,926.64,False
2038-12-18 10:40:10.580533,157,256419.83,100.0,934.45,False
2039-01-17 10:40:10.580533,158,258562.12,100.0,942.29,False
2039-02-16 10:40:10.580533,159,260712.29,100.0,950.17,False
2039-03-18 10:40:10.580533,160,262870.36,100.0,958.07,False
2039-04-17 10:40:10.580533,161,265036.35,100.0,966.0,False
2039-05-17 10:40:10.580533,162,267210.31,100.0,973.96,False
2039-06-16 10:40:10.580533,163,269392.26,100.0,981.95,False
2039-07-16 10:40:10.580533,164,271582.23,100.0,989.97,False
2039-08-15 10:40:10.580533,165,273780.24,100.0,998.01,False
2039-09-14 10:40:10.580533,166,275986.33,100.0,1006.09,False
2039-10-14 10:40:10.580533,167,278200.53,100.0,1014.2,False
2039-11-13 10:40:10.580533,168,280422.86,100.0,1022.33,False
2039-12-13 10:40:10.580533,169,282653.36,100.0,1030.5,False
2040-01-12 10:40:10.580533,170,284892.06,100.0,1038.7,False
2040-02-11 10:40:10.580533,171,287138.98,100.0,1046.92,False
2040-03-12 10:40:10.580533,172,289394.16,100.0,1055.18,False
2040-04-11 10:40:10.580533,173,291657.63,100.0,1063.47,False
2040-05-11 10:40:10.580533,174,293929.42,100.0,1071.79,False
2040-06-10 10:40:10.580533,175,296209.55,100.0,1080.13,False
2040-07-10 10:40:10.580533,176,298498.06,100.0,1088.51,False
2040-08-09 10:40:10.580533,177,300794.99,100.0,1096.92,False
2040-09-08 10:40:10.580533,178,303100.35,100.0,1105.36,False
2040-10-08 10:40:10.580533,179,305414.19,100.0,1113.84,False
